nohup: ignoring input

=======================================================
[1/10] Intersecting 'fruits' and 'animals'
=======================================================

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3887.41it/s]
[ep 15 | step 950] KL_a=2.1639 KL_b=0.5750 margin_a=1.078 margin_b=3.758 acc_a=0.62 acc_b=0.00 | λa=0.000 λb=0.586 λcore=0.586 | sparsity=170.7242 total=173.0621
[ep 15 | step 960] KL_a=0.4347 KL_b=0.6343 margin_a=0.000 margin_b=3.367 acc_a=0.75 acc_b=0.12 | λa=0.201 λb=0.357 λcore=0.457 | sparsity=986.3498 total=988.0507
[ep 15 | step 970] KL_a=2.0643 KL_b=0.5797 margin_a=2.023 margin_b=2.891 acc_a=0.25 acc_b=0.00 | λa=0.000 λb=0.421 λcore=0.421 | sparsity=122.7632 total=125.2407
[ep 15 | step 980] KL_a=2.8001 KL_b=0.6149 margin_a=4.109 margin_b=3.727 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=0.268 λcore=0.268 | sparsity=78.2965 total=81.4560
[ep 15 | step 990] KL_a=2.9816 KL_b=0.6264 margin_a=4.953 margin_b=4.906 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=0.165 λcore=0.165 | sparsity=48.2571 total=51.6537
[ep 15 | step 1000] KL_a=4.1633 KL_b=0.6128 margin_a=5.453 margin_b=3.977 acc_a=0.00 acc_b=0.12 | λa=0.000 λb=0.109 λcore=0.109 | sparsity=32.1625 total=35.7058
[ep 16 | step 1010] KL_a=2.8622 KL_b=0.5495 margin_a=4.156 margin_b=5.188 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=0.161 λcore=0.161 | sparsity=47.2797 total=50.4109
[ep 16 | step 1020] KL_a=0.8663 KL_b=0.5075 margin_a=0.000 margin_b=3.008 acc_a=0.75 acc_b=0.25 | λa=0.000 λb=0.172 λcore=0.172 | sparsity=50.3741 total=52.2016
[ep 16 | step 1030] KL_a=0.8787 KL_b=0.5824 margin_a=0.000 margin_b=4.375 acc_a=0.62 acc_b=0.00 | λa=0.000 λb=0.000 λcore=0.000 | sparsity=0.4681 total=2.4056
[ep 16 | step 1040] KL_a=1.2229 KL_b=0.5168 margin_a=0.500 margin_b=4.867 acc_a=0.88 acc_b=0.12 | λa=0.000 λb=0.005 λcore=0.005 | sparsity=1.9076 total=4.0413
[ep 16 | step 1050] KL_a=1.3242 KL_b=0.5608 margin_a=0.328 margin_b=5.367 acc_a=1.00 acc_b=0.00 | λa=0.000 λb=0.000 λcore=0.000 | sparsity=0.4680 total=2.6297
[ep 16 | step 1060] KL_a=1.1468 KL_b=0.6280 margin_a=1.820 margin_b=4.250 acc_a=0.62 acc_b=0.00 | λa=0.000 λb=0.000 λcore=0.000 | sparsity=0.4680 total=2.8865
[ep 16 | step 1070] KL_a=0.9245 KL_b=0.7382 margin_a=0.531 margin_b=3.750 acc_a=0.50 acc_b=0.00 | λa=0.000 λb=0.000 λcore=0.000 | sparsity=0.4680 total=2.4134
[ep 17 | step 1080] KL_a=1.0674 KL_b=0.5099 margin_a=0.500 margin_b=4.023 acc_a=0.88 acc_b=0.12 | λa=0.000 λb=0.000 λcore=0.000 | sparsity=0.4680 total=2.4536
[ep 17 | step 1090] KL_a=1.3585 KL_b=0.5412 margin_a=0.000 margin_b=3.008 acc_a=0.50 acc_b=0.12 | λa=0.000 λb=0.000 λcore=0.000 | sparsity=0.4680 total=2.2961
[ep 17 | step 1100] KL_a=1.0766 KL_b=0.5522 margin_a=0.000 margin_b=4.414 acc_a=0.75 acc_b=0.12 | λa=0.000 λb=0.000 λcore=0.000 | sparsity=0.4680 total=2.3539
[ep 17 | step 1110] KL_a=0.4976 KL_b=0.4972 margin_a=0.344 margin_b=3.734 acc_a=0.88 acc_b=0.00 | λa=0.091 λb=0.014 λcore=0.099 | sparsity=411.4253 total=413.1642
[ep 17 | step 1120] KL_a=1.6180 KL_b=0.5776 margin_a=0.000 margin_b=3.203 acc_a=0.75 acc_b=0.12 | λa=0.000 λb=0.000 λcore=0.000 | sparsity=0.4679 total=2.3819
