loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
fine mode: heads, attn neurons, MLP neurons + MLP blocks active (no attn blocks, no full layers)
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 43690.67it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4821.98it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   3%|▎         | 8/254 [00:00<00:03, 79.43it/s]Loading weights:  19%|█▉        | 48/254 [00:00<00:00, 264.66it/s]Loading weights:  34%|███▍      | 86/254 [00:00<00:00, 312.83it/s]Loading weights:  51%|█████     | 129/254 [00:00<00:00, 352.64it/s]Loading weights:  66%|██████▌   | 167/254 [00:00<00:00, 360.48it/s]Loading weights:  81%|████████▏ | 207/254 [00:00<00:00, 372.17it/s]Loading weights:  96%|█████████▋| 245/254 [00:00<00:00, 373.85it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 344.16it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
loaded masks/sections/sec_03_step_1_word.pt | locked 632 closed gates (log_alpha=-1000000.0, grad=0, reopen-proof) | 84 gate groups not in checkpoint (fresh, open, trainable)
locked 359296 neuron gates under already-closed parents (invisible to the network)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500

training: 500 epochs, lr=0.03, kl=1.5 (span KL), task=1.0 (margin), lambda_mult=1.0
[06:38:22] epoch 83/500 kl=0.0042 task=0.0364 sparsity=4.0796 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:38:56] epoch 84/500 kl=0.0214 task=0.0845 sparsity=4.0721 train_acc=0.9863 gates_open=1.0% (24s) | val acc 1.0000
[06:39:30] epoch 85/500 kl=0.0020 task=0.0061 sparsity=4.0645 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:40:04] epoch 86/500 kl=0.0018 task=0.0017 sparsity=4.0560 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:40:37] epoch 87/500 kl=0.0183 task=0.0762 sparsity=4.0478 train_acc=0.9902 gates_open=1.0% (24s) | val acc 1.0000
[06:41:11] epoch 88/500 kl=0.0080 task=0.0820 sparsity=4.0409 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:41:45] epoch 89/500 kl=0.0332 task=0.1345 sparsity=4.0350 train_acc=0.9805 gates_open=1.0% (24s) | val acc 1.0000
[06:42:19] epoch 90/500 kl=0.0020 task=0.0024 sparsity=4.0281 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:42:53] epoch 91/500 kl=0.0017 task=0.0029 sparsity=4.0186 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:43:27] epoch 92/500 kl=0.0087 task=0.1118 sparsity=4.0106 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:44:01] epoch 93/500 kl=0.0058 task=0.0554 sparsity=4.0033 train_acc=1.0000 gates_open=1.0% (24s) | val acc 1.0000
[06:44:35] epoch 94/500 kl=0.0410 task=0.1404 sparsity=3.9942 train_acc=0.9844 gates_open=0.9% (24s) | val acc 1.0000
[06:45:09] epoch 95/500 kl=0.0016 task=0.0007 sparsity=3.9846 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
[06:45:43] epoch 96/500 kl=0.0104 task=0.0718 sparsity=3.9752 train_acc=0.9961 gates_open=0.9% (24s) | val acc 1.0000
[06:46:16] epoch 97/500 kl=0.0070 task=0.0623 sparsity=3.9686 train_acc=0.9980 gates_open=0.9% (24s) | val acc 1.0000
[06:46:50] epoch 98/500 kl=0.0014 task=0.0000 sparsity=3.9620 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
[06:47:24] epoch 99/500 kl=0.0042 task=0.0364 sparsity=3.9563 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
[06:47:58] epoch 100/500 kl=0.0039 task=0.0312 sparsity=3.9511 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
saved masks/sections/sec_03_fine.ep100.pt | gates open: 3738/402108 (0.9%)
[06:48:32] epoch 101/500 kl=0.0023 task=0.0066 sparsity=3.9468 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
[06:49:06] epoch 102/500 kl=0.0116 task=0.0798 sparsity=3.9433 train_acc=0.9961 gates_open=0.9% (24s) | val acc 1.0000
[06:49:40] epoch 103/500 kl=0.0036 task=0.0254 sparsity=3.9391 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
[06:50:14] epoch 104/500 kl=0.0013 task=0.0000 sparsity=3.9354 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
[06:50:48] epoch 105/500 kl=0.0025 task=0.0176 sparsity=3.9311 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
[06:51:21] epoch 106/500 kl=0.0288 task=0.1226 sparsity=3.9276 train_acc=0.9863 gates_open=0.9% (24s) | val acc 1.0000
[06:51:55] epoch 107/500 kl=0.0050 task=0.0488 sparsity=3.9236 train_acc=1.0000 gates_open=0.9% (24s) | val acc 1.0000
