loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 39199.10it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4245.75it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   7%|▋         | 17/254 [00:00<00:01, 167.59it/s]Loading weights:  21%|██▏       | 54/254 [00:00<00:00, 284.81it/s]Loading weights:  37%|███▋      | 93/254 [00:00<00:00, 324.75it/s]Loading weights:  51%|█████     | 130/254 [00:00<00:00, 341.25it/s]Loading weights:  66%|██████▌   | 167/254 [00:00<00:00, 345.97it/s]Loading weights:  80%|███████▉  | 203/254 [00:00<00:00, 345.14it/s]Loading weights:  94%|█████████▍| 239/254 [00:00<00:00, 340.92it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 333.71it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.pt | 617 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 200 epochs, lr=0.005, kl=1.0, task=1.0, lambda_mult=8.0
[03:30:52] epoch 61/200 kl=0.0642 task=0.0644 sparsity=0.5927 train_acc=0.9863 gates_open=10.3% (17s) | val acc 1.0000
[03:31:18] epoch 62/200 kl=0.0300 task=0.0302 sparsity=0.5913 train_acc=0.9883 gates_open=10.3% (17s) | val acc 1.0000
[03:31:44] epoch 63/200 kl=0.0678 task=0.0680 sparsity=0.5901 train_acc=0.9805 gates_open=10.3% (17s) | val acc 1.0000
[03:32:11] epoch 64/200 kl=0.0329 task=0.0331 sparsity=0.5890 train_acc=0.9961 gates_open=10.3% (17s) | val acc 1.0000
[03:32:37] epoch 65/200 kl=0.0360 task=0.0362 sparsity=0.5877 train_acc=0.9980 gates_open=10.3% (17s) | val acc 1.0000
[03:33:03] epoch 66/200 kl=0.0691 task=0.0693 sparsity=0.5865 train_acc=0.9746 gates_open=10.3% (17s) | val acc 1.0000
[03:33:30] epoch 67/200 kl=0.0197 task=0.0199 sparsity=0.5849 train_acc=0.9941 gates_open=10.3% (17s) | val acc 1.0000
[03:33:56] epoch 68/200 kl=0.0874 task=0.0876 sparsity=0.5829 train_acc=0.9707 gates_open=10.3% (17s) | val acc 1.0000
[03:34:22] epoch 69/200 kl=0.0298 task=0.0300 sparsity=0.5809 train_acc=0.9961 gates_open=10.3% (17s) | val acc 1.0000
[03:34:49] epoch 70/200 kl=0.0911 task=0.0913 sparsity=0.5791 train_acc=0.9629 gates_open=10.3% (17s) | val acc 1.0000
[03:35:15] epoch 71/200 kl=0.0594 task=0.0596 sparsity=0.5767 train_acc=0.9805 gates_open=10.3% (17s) | val acc 1.0000
[03:35:41] epoch 72/200 kl=0.0274 task=0.0276 sparsity=0.5735 train_acc=0.9922 gates_open=10.1% (17s) | val acc 1.0000
[03:36:07] epoch 73/200 kl=0.0291 task=0.0292 sparsity=0.5697 train_acc=0.9922 gates_open=10.1% (17s) | val acc 1.0000
[03:36:33] epoch 74/200 kl=0.0588 task=0.0590 sparsity=0.5647 train_acc=0.9805 gates_open=10.1% (17s) | val acc 1.0000
[03:37:00] epoch 75/200 kl=0.2321 task=0.2324 sparsity=0.5588 train_acc=0.9414 gates_open=10.1% (17s) | val acc 1.0000
[03:37:26] epoch 76/200 kl=0.1373 task=0.1376 sparsity=0.5525 train_acc=0.9531 gates_open=10.1% (17s) | val acc 1.0000
[03:37:52] epoch 77/200 kl=0.0200 task=0.0201 sparsity=0.5450 train_acc=1.0000 gates_open=10.1% (17s) | val acc 1.0000
[03:38:18] epoch 78/200 kl=0.0717 task=0.0720 sparsity=0.5358 train_acc=0.9844 gates_open=10.1% (17s) | val acc 1.0000
[03:38:45] epoch 79/200 kl=0.1102 task=0.1104 sparsity=0.5268 train_acc=0.9707 gates_open=10.1% (17s) | val acc 1.0000
[03:39:11] epoch 80/200 kl=0.1233 task=0.1236 sparsity=0.5189 train_acc=0.9629 gates_open=10.1% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep80.pt | gates open: 71/700 (10.1%)
[03:39:37] epoch 81/200 kl=0.0398 task=0.0400 sparsity=0.5123 train_acc=0.9961 gates_open=10.1% (17s) | val acc 1.0000
[03:40:03] epoch 82/200 kl=0.0379 task=0.0382 sparsity=0.5068 train_acc=0.9961 gates_open=10.0% (17s) | val acc 1.0000
[03:40:30] epoch 83/200 kl=0.0983 task=0.0986 sparsity=0.5025 train_acc=0.9629 gates_open=10.1% (17s) | val acc 1.0000
[03:40:56] epoch 84/200 kl=0.0896 task=0.0899 sparsity=0.4991 train_acc=0.9707 gates_open=10.1% (17s) | val acc 1.0000
[03:41:22] epoch 85/200 kl=0.0603 task=0.0606 sparsity=0.4963 train_acc=0.9824 gates_open=10.1% (17s) | val acc 1.0000
[03:41:48] epoch 86/200 kl=0.0671 task=0.0674 sparsity=0.4940 train_acc=0.9863 gates_open=10.1% (17s) | val acc 1.0000
[03:42:15] epoch 87/200 kl=0.0345 task=0.0348 sparsity=0.4920 train_acc=0.9980 gates_open=10.0% (17s) | val acc 1.0000
[03:42:41] epoch 88/200 kl=0.0368 task=0.0370 sparsity=0.4902 train_acc=0.9922 gates_open=10.0% (17s) | val acc 1.0000
[03:43:07] epoch 89/200 kl=0.0503 task=0.0506 sparsity=0.4888 train_acc=0.9863 gates_open=10.0% (17s) | val acc 1.0000
[03:43:34] epoch 90/200 kl=0.0747 task=0.0750 sparsity=0.4876 train_acc=0.9824 gates_open=10.0% (17s) | val acc 1.0000
[03:44:00] epoch 91/200 kl=0.0749 task=0.0752 sparsity=0.4865 train_acc=0.9785 gates_open=10.0% (17s) | val acc 1.0000
[03:44:26] epoch 92/200 kl=0.0719 task=0.0722 sparsity=0.4856 train_acc=0.9727 gates_open=10.0% (17s) | val acc 1.0000
[03:44:53] epoch 93/200 kl=0.0454 task=0.0457 sparsity=0.4847 train_acc=0.9824 gates_open=10.0% (17s) | val acc 1.0000
[03:45:19] epoch 94/200 kl=0.0476 task=0.0479 sparsity=0.4840 train_acc=0.9883 gates_open=10.0% (17s) | val acc 1.0000
[03:45:45] epoch 95/200 kl=0.3716 task=0.3720 sparsity=0.4834 train_acc=0.8613 gates_open=10.1% (17s) | val acc 1.0000
[03:46:11] epoch 96/200 kl=0.0454 task=0.0457 sparsity=0.4831 train_acc=0.9922 gates_open=10.1% (17s) | val acc 1.0000
[03:46:37] epoch 97/200 kl=0.0483 task=0.0486 sparsity=0.4825 train_acc=0.9805 gates_open=10.1% (17s) | val acc 1.0000
[03:47:03] epoch 98/200 kl=0.0459 task=0.0462 sparsity=0.4820 train_acc=0.9902 gates_open=10.1% (17s) | val acc 1.0000
[03:47:30] epoch 99/200 kl=0.1102 task=0.1105 sparsity=0.4814 train_acc=0.9766 gates_open=10.1% (17s) | val acc 1.0000
[03:47:56] epoch 100/200 kl=0.0309 task=0.0311 sparsity=0.4810 train_acc=0.9961 gates_open=10.1% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep100.pt | gates open: 71/700 (10.1%)
[03:48:22] epoch 101/200 kl=0.0676 task=0.0678 sparsity=0.4805 train_acc=0.9707 gates_open=10.1% (17s) | val acc 1.0000
[03:48:48] epoch 102/200 kl=0.0271 task=0.0273 sparsity=0.4800 train_acc=0.9922 gates_open=10.1% (17s) | val acc 1.0000
[03:49:14] epoch 103/200 kl=0.0632 task=0.0635 sparsity=0.4796 train_acc=0.9785 gates_open=10.1% (17s) | val acc 1.0000
[03:49:41] epoch 104/200 kl=0.0639 task=0.0641 sparsity=0.4793 train_acc=0.9805 gates_open=10.0% (17s) | val acc 1.0000
[03:50:07] epoch 105/200 kl=0.0655 task=0.0657 sparsity=0.4789 train_acc=0.9844 gates_open=10.0% (17s) | val acc 1.0000
[03:50:33] epoch 106/200 kl=0.0200 task=0.0202 sparsity=0.4786 train_acc=0.9980 gates_open=10.0% (17s) | val acc 1.0000
[03:50:59] epoch 107/200 kl=0.1571 task=0.1574 sparsity=0.4783 train_acc=0.9629 gates_open=10.0% (17s) | val acc 1.0000
[03:51:26] epoch 108/200 kl=0.0195 task=0.0197 sparsity=0.4779 train_acc=0.9980 gates_open=10.0% (17s) | val acc 1.0000
[03:51:52] epoch 109/200 kl=0.0410 task=0.0412 sparsity=0.4776 train_acc=0.9863 gates_open=10.0% (17s) | val acc 1.0000
[03:52:18] epoch 110/200 kl=0.1033 task=0.1036 sparsity=0.4773 train_acc=0.9570 gates_open=10.0% (17s) | val acc 1.0000
[03:52:44] epoch 111/200 kl=0.1024 task=0.1026 sparsity=0.4771 train_acc=0.9688 gates_open=10.0% (17s) | val acc 1.0000
[03:53:10] epoch 112/200 kl=0.0180 task=0.0182 sparsity=0.4768 train_acc=1.0000 gates_open=10.0% (17s) | val acc 1.0000
[03:53:37] epoch 113/200 kl=0.0764 task=0.0767 sparsity=0.4765 train_acc=0.9824 gates_open=10.0% (17s) | val acc 1.0000
[03:54:03] epoch 114/200 kl=0.0556 task=0.0558 sparsity=0.4762 train_acc=0.9805 gates_open=10.0% (17s) | val acc 1.0000
[03:54:29] epoch 115/200 kl=0.0184 task=0.0186 sparsity=0.4759 train_acc=1.0000 gates_open=10.0% (17s) | val acc 1.0000
[03:54:55] epoch 116/200 kl=0.0542 task=0.0544 sparsity=0.4757 train_acc=0.9844 gates_open=10.0% (17s) | val acc 1.0000
[03:55:21] epoch 117/200 kl=0.0477 task=0.0479 sparsity=0.4754 train_acc=0.9863 gates_open=10.0% (17s) | val acc 1.0000
[03:55:48] epoch 118/200 kl=0.0364 task=0.0366 sparsity=0.4752 train_acc=0.9961 gates_open=10.0% (17s) | val acc 1.0000
[03:56:14] epoch 119/200 kl=0.0230 task=0.0232 sparsity=0.4749 train_acc=1.0000 gates_open=10.0% (17s) | val acc 1.0000
[03:56:40] epoch 120/200 kl=0.0234 task=0.0235 sparsity=0.4747 train_acc=0.9922 gates_open=10.0% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep120.pt | gates open: 70/700 (10.0%)
