loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 39756.44it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3794.43it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   4%|▎         | 9/254 [00:00<00:02, 89.25it/s]Loading weights:  19%|█▉        | 49/254 [00:00<00:00, 266.74it/s]Loading weights:  35%|███▌      | 89/254 [00:00<00:00, 325.67it/s]Loading weights:  51%|█████     | 129/254 [00:00<00:00, 353.79it/s]Loading weights:  66%|██████▌   | 167/254 [00:00<00:00, 360.27it/s]Loading weights:  81%|████████▏ | 207/254 [00:00<00:00, 370.82it/s]Loading weights:  96%|█████████▋| 245/254 [00:00<00:00, 371.72it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 344.89it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.ep60.pt | 541 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 200 epochs, lr=0.005, kl=1.0, task=1.0, lambda_mult=4.0
[01:29:59] epoch 83/200 kl=0.0099 task=0.0097 sparsity=1.0155 train_acc=1.0000 gates_open=15.7% (17s) | val acc 1.0000
[01:30:25] epoch 84/200 kl=0.0384 task=0.0382 sparsity=1.0139 train_acc=0.9805 gates_open=15.6% (17s) | val acc 1.0000
[01:30:51] epoch 85/200 kl=0.0110 task=0.0108 sparsity=1.0124 train_acc=0.9961 gates_open=15.6% (17s) | val acc 1.0000
[01:31:18] epoch 86/200 kl=0.0071 task=0.0068 sparsity=1.0106 train_acc=1.0000 gates_open=15.6% (17s) | val acc 1.0000
[01:31:44] epoch 87/200 kl=0.0057 task=0.0056 sparsity=1.0089 train_acc=1.0000 gates_open=15.4% (17s) | val acc 1.0000
[01:32:10] epoch 88/200 kl=0.0042 task=0.0040 sparsity=1.0073 train_acc=1.0000 gates_open=15.4% (17s) | val acc 1.0000
[01:32:36] epoch 89/200 kl=0.0186 task=0.0184 sparsity=1.0057 train_acc=0.9941 gates_open=15.3% (17s) | val acc 1.0000
[01:33:02] epoch 90/200 kl=0.0205 task=0.0203 sparsity=1.0040 train_acc=0.9922 gates_open=15.1% (17s) | val acc 1.0000
[01:33:29] epoch 91/200 kl=0.0035 task=0.0032 sparsity=1.0024 train_acc=1.0000 gates_open=15.1% (17s) | val acc 1.0000
[01:33:55] epoch 92/200 kl=0.0060 task=0.0058 sparsity=1.0007 train_acc=1.0000 gates_open=15.0% (17s) | val acc 1.0000
[01:34:21] epoch 93/200 kl=0.0121 task=0.0118 sparsity=0.9991 train_acc=0.9961 gates_open=14.9% (17s) | val acc 1.0000
[01:34:48] epoch 94/200 kl=0.0033 task=0.0031 sparsity=0.9975 train_acc=1.0000 gates_open=14.9% (17s) | val acc 1.0000
[01:35:14] epoch 95/200 kl=0.0464 task=0.0463 sparsity=0.9959 train_acc=0.9844 gates_open=14.9% (17s) | val acc 1.0000
[01:35:40] epoch 96/200 kl=0.0029 task=0.0026 sparsity=0.9943 train_acc=1.0000 gates_open=14.9% (17s) | val acc 1.0000
[01:36:07] epoch 97/200 kl=0.0034 task=0.0032 sparsity=0.9926 train_acc=1.0000 gates_open=14.9% (17s) | val acc 1.0000
[01:36:33] epoch 98/200 kl=0.0228 task=0.0227 sparsity=0.9909 train_acc=0.9922 gates_open=14.7% (17s) | val acc 1.0000
[01:36:59] epoch 99/200 kl=0.0348 task=0.0347 sparsity=0.9897 train_acc=0.9883 gates_open=14.6% (17s) | val acc 1.0000
[01:37:25] epoch 100/200 kl=0.0278 task=0.0276 sparsity=0.9885 train_acc=0.9863 gates_open=14.6% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep100.pt | gates open: 102/700 (14.6%)
[01:37:52] epoch 101/200 kl=0.0250 task=0.0249 sparsity=0.9872 train_acc=0.9883 gates_open=14.6% (17s) | val acc 1.0000
[01:38:18] epoch 102/200 kl=0.0420 task=0.0419 sparsity=0.9857 train_acc=0.9785 gates_open=14.6% (17s) | val acc 1.0000
[01:38:44] epoch 103/200 kl=0.0568 task=0.0567 sparsity=0.9847 train_acc=0.9785 gates_open=14.6% (17s) | val acc 1.0000
[01:39:10] epoch 104/200 kl=0.1349 task=0.1348 sparsity=0.9839 train_acc=0.9668 gates_open=14.6% (17s) | val acc 1.0000
[01:39:37] epoch 105/200 kl=0.0460 task=0.0458 sparsity=0.9832 train_acc=0.9785 gates_open=14.6% (17s) | val acc 1.0000
[01:40:03] epoch 106/200 kl=0.0090 task=0.0086 sparsity=0.9822 train_acc=1.0000 gates_open=14.6% (17s) | val acc 1.0000
[01:40:29] epoch 107/200 kl=0.0701 task=0.0700 sparsity=0.9811 train_acc=0.9590 gates_open=14.6% (17s) | val acc 1.0000
[01:40:56] epoch 108/200 kl=0.0139 task=0.0137 sparsity=0.9803 train_acc=0.9941 gates_open=14.6% (17s) | val acc 1.0000
[01:41:22] epoch 109/200 kl=0.0035 task=0.0033 sparsity=0.9790 train_acc=1.0000 gates_open=14.6% (17s) | val acc 1.0000
[01:41:48] epoch 110/200 kl=0.0559 task=0.0558 sparsity=0.9776 train_acc=0.9824 gates_open=14.4% (17s) | val acc 1.0000
[01:42:14] epoch 111/200 kl=0.0076 task=0.0075 sparsity=0.9764 train_acc=1.0000 gates_open=14.4% (17s) | val acc 1.0000
[01:42:40] epoch 112/200 kl=0.0162 task=0.0160 sparsity=0.9752 train_acc=0.9941 gates_open=14.4% (17s) | val acc 1.0000
[01:43:07] epoch 113/200 kl=0.0192 task=0.0191 sparsity=0.9740 train_acc=0.9941 gates_open=14.3% (17s) | val acc 1.0000
[01:43:33] epoch 114/200 kl=0.0093 task=0.0091 sparsity=0.9728 train_acc=0.9980 gates_open=14.3% (17s) | val acc 1.0000
[01:43:59] epoch 115/200 kl=0.0027 task=0.0024 sparsity=0.9715 train_acc=1.0000 gates_open=14.3% (17s) | val acc 1.0000
[01:44:25] epoch 116/200 kl=0.0038 task=0.0036 sparsity=0.9698 train_acc=1.0000 gates_open=14.3% (17s) | val acc 1.0000
[01:44:51] epoch 117/200 kl=0.0064 task=0.0063 sparsity=0.9681 train_acc=1.0000 gates_open=14.3% (17s) | val acc 1.0000
[01:45:17] epoch 118/200 kl=0.0110 task=0.0109 sparsity=0.9664 train_acc=0.9980 gates_open=14.1% (17s) | val acc 1.0000
[01:45:44] epoch 119/200 kl=0.0183 task=0.0181 sparsity=0.9645 train_acc=0.9922 gates_open=14.1% (17s) | val acc 1.0000
[01:46:10] epoch 120/200 kl=0.0176 task=0.0174 sparsity=0.9629 train_acc=0.9961 gates_open=14.1% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep120.pt | gates open: 99/700 (14.1%)
[01:46:36] epoch 121/200 kl=0.0188 task=0.0188 sparsity=0.9610 train_acc=0.9941 gates_open=14.0% (17s) | val acc 1.0000
[01:47:02] epoch 122/200 kl=0.0124 task=0.0123 sparsity=0.9591 train_acc=1.0000 gates_open=14.0% (17s) | val acc 1.0000
[01:47:28] epoch 123/200 kl=0.0222 task=0.0220 sparsity=0.9570 train_acc=0.9961 gates_open=14.0% (17s) | val acc 1.0000
[01:47:54] epoch 124/200 kl=0.0314 task=0.0313 sparsity=0.9549 train_acc=0.9883 gates_open=14.0% (17s) | val acc 1.0000
